الله - Allāh,Allah
ٱلرَّحْمَٰنُ - al-Raḥmān,The Most Gracious
ٱلرَّحِيمُ - al-Raḥīm,The Most Merciful
ٱلْمَلِكُ - al-Malik,The King
ٱلْقُدُّوسُ - al-Quddūs,The Most Holy
ٱلسَّلَامُ - as-Salām,The Peace
ٱلْمُؤْمِنُ - al-Muʾmin,The Giver of Security
ٱلْمُهَيْمِنُ - al-Muhaymin,The Controller
ٱلْعَزِيزُ - al-ʿAzīz,The Exalted in Might
ٱلْجَبَّارُ - al-Jabbār,The Omnipotent
ٱلْمُتَكَبِّرُ - al-Mutakabbir,The Superior
ٱلْخَالِقُ - al-Khāliq,The Creator
ٱلْبَارِئُ - al-Bāriʾ,The Inventor
ٱلْمُصَوِّرُ - al-Muṣawwir,The Designer
ٱلْغَفَّارُ - al-Ghaffār,The Absolute Forgiver
ٱلْقَهَّارُ - al-Qahhār,The Subduer
ٱلْوَهَّابُ - al-Wahhāb,The Bestower
ٱلرَّزَّاقُ - ar-Razzāq,The Provider
ٱلْفَتَّاحُ - al-Fattāḥ,The Opener
ٱلْعَلِيمُ - al-ʿAlīm,The All-Knowing
ٱلْقَابِضُ - al-Qābiḍ,The Restrainer
ٱلْبَاسِطُ - al-Bāsiṭ,The Expander
ٱلْخَافِضُ - al-Khāfiḍ,The Humiliator
ٱلرَّافِعُ - ar-Rāfiʿ,The Exalter
ٱلْمُعِزُّ - al-Muʿizz,The Giver of Honor
ٱلْمُذِلُّ - al-Muḏill,The Giver of Disgrace
ٱلسَّمِيعُ - as-Samīʿ,The All-Hearing
ٱلْبَصِيرُ - al-Baṣīr,The All-Seeing
ٱلْحَكَمُ - al-Ḥakam,The Judge
ٱلْعَدْلُ - al-ʿAdl,The Just
ٱللَّطِيفُ - al-Laṭīf,The Gentle
ٱلْخَبِيرُ - al-Khabīr,The All-Aware
ٱلْحَلِيمُ - al-Ḥalīm,The Forbearing
ٱلْعَظِيمُ - al-ʿAẓīm,The Most Magnificent
ٱلْغَفُورُ - al-Ghafūr,The Oft-Forgiving
ٱلشَّكُورُ - ash-Shakūr,The Grateful
ٱلْعَلِيُّ - al-ʿAliyy,The Most High
ٱلْكَبِيرُ - al-Kabīr,The Most Great
ٱلْحَفِيظُ - al-Ḥafīz,The Protector
ٱلْمُقِيتُ - al-Muqīt,The Nourisher
ٱلْحَسِيبُ - al-Ḥasīb,The Ever-Reckoner
ٱلْجَلِيلُ - al-Jalīl,The Majestic
الْكَرِيمُ - al-Karīm,The Noble
الرَّقِيبُ - ar-Raqīb,The Watchful
الْمُجِيبُ - al-Mujīb,The Answerer
الْوَاسِعُ - al-Wāsiʿ,The Vast
الْحَكِيمُ - al-Ḥakīm,The Wise
الْوَدُودُ - al-Wadūd,The Affectionate
الْمَجِيدُ - al-Majīd,The All-Glorious
الْبَاعِثُ - al-Bāʿiṯ,The Resurrector
الشَّهِيدُ - ash-Shahīd,The Witness
الْحَقُّ - al-Ḥaqq,The Truth
الْوَكِيلُ - al-Wakīl,The Dependable
الْقَوِيُّ - al-Qawiyy,The Strong
الْمَتِينُ - al-Matīn,The Firm
الْوَلِيُّ - al-Waliyy,The Helper
الْحَمِيدُ - al-Ḥamīd,The All-Praiseworthy
الْمُحْصِي - al-Muḥsīy,The Accounter
الْمُبْدِئُ - al-Mubdiʾ,The Initiator
الْمُعِيدُ - al-Muʿīd,The Restorer
الْمُحْيِي - al-Muḥyī,The Giver of Life
الْمُمِيتُ - al-Mumīt,The Bringer of Death
الْحَيُّ - al-Ḥayy,The Living
الْقَيُّومُ - al-Qayyūm,The Independent
الْوَاجِدُ - al-Wājid,The Finder
الْمَاجِدُ - al-Mājid,The Glorious
الْوَاحِدُ - al-Wāḥid,The Unique
الصَّمَدُ - aṣ-Ṣamad,The Self-Sufficient
الْقَادِرُ - al-Qādir,The All-Powerful
الْمُقْتَدِرُ - al-Muqtadir,The Determiner
الْمُقَدِّمُ - al-Muqaddim,The Expeditor
الْمُؤَخِّرُ - al-Muʾakhkhir,The Delayer
الْأَوَّلُ - al-ʾAwwal,The First
الْآخِرُ - al-ʾÃkhir,The Last
الظَّاهِرُ - aẓ-Ẓāhir,The Manifest
الْبَاطِنُ - al-Bāṭin,The Hidden
الْوَالِي - al-Wāliy,The Patron
الْمُتَعَالِ - al-Mutʿāliy,The Most Exalted
الْبَرُّ - al-Barr,The Beneficent
التَّوَّابُ - at-Tawwāb,The Oft-Returning
الْمُنْتَقِمُ - al-Muntaqim,The Avenger
الْعَفُوُّ - al-ʿAfuww,The Pardoner
الرَّؤُوفُ - ar-Raʾūf,The Kind
مَالِكُ الْمُلْكِ - Mālik-ul-mulk,Owner of All Sovereignty
ذُو الْجَلَالِ وَالْإِكْرَامِ - Ḏū l-Jalāli wal-ʾIkrām,Owner of Majesty and Honor
الْمُقْسِطُ - al-Muqsiṭ,The Requiter
الْجَامِعُ - al-Jāmiʿ,The Gatherer
الْغَنِيُّ - al-Ghāniyy,The Rich
الْمُغْنِي - al-Mughniyy,The Enricher
الْمَانِعُ - al-Māniʿ,The Preventer
الضَّارُّ - aḍ-Ḍār,The Distressor
النَّافِعُ - an-Nāfiʿ,The Benefactor
النُّورُ - an-Nūr,The Light
الْهَادِي - al-Hādī,The Guide
الْبَدِيعُ - al-Badīʿ,The Originator
الْبَاقِي - al-Bāqī,The Everlasting
الْوَارِثُ - al-Wāriṯ,The Inheritor
الرَّشِيدُ - ar-Rashīd,The Right Guide
الصَّبُورُ - aṣ-Ṣabūr,The Patient
