اَلرَّحِيْمُ - ar-Raḥīm,The Merciful / Merciful / Clement.
اَلْمَلِكُ - al-Malik,The King / Sovereign / Dominion / Possessor of the Throne of God.
اَلْقُدُّوسُ - al-Quddūs,The Holy / All-Holy / All-Pure / Sacred / All-Sacred
ٱلسَّلَامُ - as-Salām,The Giver of Peace / All-Calm / Ever-Tranquil
ٱلْمُؤْمِنُ - al-Muʾmin,The Granter of Security / the Giver / Supreme Believer / All-Assurer
ٱلْمُهَيْمِنُ - al-Muhaymin,The Controller / Absolute Authority Over All / Guardian Over All / Absolute Master / Eternal Dominating
ٱلْعَزِيزُ - al-ʿAzīz,The Exalted in Might and Power / Exalted / Powerful / Almighty / Mighty
ٱلْجَبَّارُ - al-Jabbār,The Omnipotent / Supreme Power / Possessor of Having All Power/ Strong
ٱلْمُتَكَبِّرُ - al-Mutakabbir,Arrogant / Justly Proud by himself
ٱلْخَالِقُ - al-Khāliq,The Creator / Creator of the Universe / Maker / True Originator / Absolute Author
ٱلْبَارِئُ - al-Bāriʾ,"The Initiator / Evolver / Eternal Spirit Worshipped By All, Have Absolute Power Over All Matters, Nature and Events"
ٱلْمُصَوِّرُ - al-Muṣawwir,The Fashioner / Shaper / Designer / Artist
ٱلْغَفَّارُ - al-Ghaffār,The Repeatedly Forgiving / Absolute Forgiver / Pardoner / Condoner
ٱلْقَهَّارُ - al-Qahhār,The Subduer / Overcomer / Conqueror / Absolute Vanquisher
ٱلْوَهَّابُ - al-Wahhāb,The Absolute Bestower / Giver / Grantor / Great Donor
ٱلرَّزَّاقُ - ar-Razzāq,The Provider / Sustainer / Bestower of Sustenance / All-Provider
ٱلْفَتَّاحُ - al-Fattāḥ,The Opener / Opener of the Gates of Profits / Reliever / The Victory Giver
ٱلْعَلِيمُ - al-ʿAlīm,The Knowing / All-Knower / Omniscient / All-Knowledgeable / Possessor of Knowing Much of Ever Thing / All-Knowing
ٱلْقَابِضُ - al-Qābiḍ,The Restrainer / Withholder / Straightener / Absolute Seizer
ٱلْبَاسِطُ - al-Bāsiṭ,The Extender / Expander / Generous Provider
ٱلْخَافِضُ - al-Khāfiḍ,"The Abaser / Humiliator / Downgrader [Possessor of Giving Comfort, Free from Pain Anxiety or Troubles]"
ٱلرَّافِعُ - ar-Rāfiʿ,The Exalter / Upgrader [of Ranks]
ٱلْمُعِزُّ - al-Muʿizz,The Giver of Honor / Bestower of Honor / Empowerer
ٱلْمُذِلُّ - al-Muḏill,The Giver of Dishonor / the Giver of Disgrace
ٱلسَّمِيعُ - as-Samīʿ,The Hearing / All-Hearing / Hearer of Invocation
ٱلْبَصِيرُ - al-Baṣīr,The All-Seeing / All-Seer / Ever-Clairvoyant / Clear-Sighted / Clear-Seeing
ٱلْحَكَمُ - al-Ḥakam,The Judge / Arbitrator / Arbiter / All-Decree / Possessor of Authority of Decisions and Judgment
ٱلْعَدْلُ - al-ʿAdl,The Just / Authorized and Straightforward Judge of Dealing Justly
ٱللَّطِيفُ - al-Laṭīf,The Gentle / Benignant / Subtly Kind / All-Subtle
ٱلْخَبِيرُ - al-Khabīr,The All-Aware / Well-Acquainted / Ever-Adept
ٱلْحَلِيمُ - al-Ḥalīm,The Forbearing / Indulgent / Oft Forbearing / All-Enduring
ٱلْعَظِيمُ - al-ʿAẓīm,The Most Great / Ever-Magnificent / Most Supreme / Exalted / Absolute Dignified
ٱلْغَفُورُ - al-Ghafūr,The Ever-Forgiving / Oft-Forgiving
ٱلشَّكُورُ - ash-Shakūr,The Grateful / Appreciative / Multiplier of Rewards
ٱلْعَلِيُّ - al-ʿAliyy,The Sublime / Ever-Exalted / Supreme / Most High / Most Lofty
ٱلْكَبِيرُ - al-Kabīr,"The Great / Ever-Great / Grand / Most Great / Greatly Abundant of Extent, Capacity and Importance"
ٱلْحَفِيظُ - al-Ḥafīz,The Preserver / Ever-Preserving / All-Watching / Protector / Guardian / Oft-Conservator
ٱلْمُقِيتُ - al-Muqīt,The Nourisher / Feeder
ٱلْحَسِيبُ - al-Ḥasīb,The Bringer of Judgment / Ever-Reckoner [the One Who Takes Account of All Matters]
ٱلْجَلِيلُ - al-Jalīl,The Majestic / Exalted / Oft-Important / Splendid
ٱلْكَرِيمُ - al-Karīm,The Noble / Bountiful / Generous / Precious / Honored / Benefactor
ٱلرَّقِيبُ - ar-Raqīb,The Watchful / Observer / Ever-Watchful / Watcher
ٱلْمُجِيبُ - al-Mujīb,The Responsive / Answerer / Supreme Answerer / Accepter of Invocation
ٱلْوَاسِعُ - al-Wāsiʿ,The Vast / All-Embracing / Omnipresent / Boundless / All-Encompassing
ٱلْحَكِيمُ - al-Ḥakīm,The Wise / Ever-Wise / Endowed with Sound Judgment
ٱلْوَدُودُ - al-Wadūd,The Affectionate / Ever-Affectionate / Loving One / Loving / the Lover / the One Who Tenders and Warm Hearts
ٱلْمَجِيدُ - al-Majīd,The All-Glorious / Majestic / Ever-Illustrious
ٱلْبَاعِثُ - al-Bāʿiṯ,The Resurrector / Awakener / Arouser / Dispatcher
ٱلشَّهِيدُ - ash-Shahīd,The Witness / Testifier / Ever-Witnessing
ٱلْحَقُّ - al-Ḥaqq,The Truth / Reality / the Only One Certainly Sound and Genuine in Truth
ٱلْوَكِيلُ - al-Wakīl,"The Trustee, The Dependable, The Advocate"
ٱلْقَوِيُّ - al-Qawiyy,The Strong
ٱلْمَتِينُ - al-Matīn,"The Firm, The Steadfast"
ٱلْوَلِيُّ - al-Waliyy,"The Friend, Helper"
ٱلْحَمِيدُ - al-Ḥamīd,The All Praiseworthy
ٱلْمُحْصِىُ - al-Muḥsīy,"The Accounter, The Numberer of All"
ٱلْمُبْدِئُ - al-Mubdiʾ,"The Originator, The Producer, The Initiator"
ٱلْمُعِيدُ - al-Muʿīd,"The Restorer, The Reinstater Who Brings Back All"
ٱلْمُحْيِي - al-Muḥyē,The Giver of Life
ٱلْمُمِيتُ - al-Mumīt,The Bringer of Death
ٱلْحَىُّ - al-Ḥayy,The Living
ٱلْقَيُّومُ - al-Qayyūm,"The Subsisting, The Independent"
ٱلْوَاجِدُ - al-Wājid,"The Perceiver, The Finder, The Unfailing"
ٱلْمَاجِدُ - al-Mājid,"The Illustrious, The Magnificent, The Glorious"
ٱلْوَاحِدُ - al-Wāḥid,"The Unique, The Single"
ٱلْأَحَدُ - al-ʾAḥad,"The One, The Indivisible"
ٱلصَّمَدُ - aṣ-Ṣamad,"The Eternal, The Absolute, The Self-Sufficient"
ٱلْقَادِرُ - al-Qādir,"The All-Powerful, He Who is able to do Everything"
ٱلْمُقْتَدِرُ - al-Muqtadir,"The Determiner, The Dominant"
ٱلْمُقَدِّمُ - al-Muqaddim,"The Expediter, He Who Brings Forward"
ٱلْمُؤَخِّرُ - al-Muʾakhkhir,"The Delayer, He Who Puts Far Away"
