قَالَ,to say
كَانَ,to be
ءَامَنَ,to believe
عَلِمَ,to know
جَعَلَ,to make
كَفَرَ,to cover
جَآءَ,to come
عَمِلَ,"to do, to work"
آتَى,to give
رَءَا,to see
أَتَى,"to come, to bring"
شَآءَ,"to will, to wish"
خَلَقَ,to create
أَنزَلَ,"to send down, to reveal"
كَذَّبَ,lie
دَعَا,"to call, to invite, to pray"
ٱتَّقَىٰ,"to be righteous, to fear (Allah)"
هَدَى,to guide
أَرَادَ,"to intend, to desire, to want, to wish"
ٱتَّبَعَ,to follow
أَرْسَلَ,to send
أَخَذَ,"to take, to seize"
ٱتَّخَذَ,to take
عَبَدَ,to worship
ظَلَمَ,"to oppress, to wrong"
سَأَلَ,to ask
وَجَدَ,to find
أَخْرَجَ,"to bring forth, to drive out"
أَكَلَ,"to eat, to consume"
لَّيْسَ,to not be
فَعَلَ,to do
نَّظَرَ,"to look, to see"
ذَكَرَ,"to remember, to mention"
خَافَ,"to fear, to be afraid"
قَتَلَ,to kill
رَجَعَ,to return
سَمِعَ,"to hear, to listen"
تَوَلَّىٰ,to turn
أَمَرَ,"to order, to command"
دَخَلَ,to enter
جَزَىٰ,"to reward, to recompense"
أَطَاعَ,to obey
أَوْحَىٰٓ,"to reveal, to inspire"
أَشْرَكَ,to associate partners
أَلْقَىٰٓ,"to cast, to throw, to meet, to offer"
وَعَدَ,to promise
أَنفَقَ,to spend
غَفَرَ,to forgive
أَحْبَبْ,"to love, to like"
أَصَابَ,"to strike, to befall, to bestow"
أَضَلَّ,"to let go astray, to mislead"
تَابَ,"to repent, to turn"
كَسَبَ,to earn
نَزَّلَ,"to send down, to reveal"
تَلَىٰ,to recite
رَزَقَ,to provide
قَضَىٰٓ,"to decree, to decide, to judge"
نَصَرَ,to help
صَبَرَ,to be patient
جَرَيْ,"to flow, to run"
مَسَّ,to touch
ضَرَبَ,"to strike, to set forth"
قَٰتَلَ,to fight
أَقَامَ,to establish
خَرَجَ,"to go out, to come out, to depart, to leave"
ضَلَّ,"to go astray, to err, to lose"
بَعَثَ,"to raise, to resurrect, to send"
أَحْيَا,to give life
تَذَكَّرَ,to receive admonition
أَهْلَكَ,to destroy
ٱفْتَرَىٰ,to invent
زَادَ,to increase
